id,essay,C1,C2,C3,O1,O2,E1,E2,V1,R1,Creativity_score
1278,"여러분은 여러분을 화나게 하는 것을 읽은 적이 있나요? 글쎄, 솔직히 말해서, 나는 내가 마지막으로 도서관에 걸어 들어갔을 때 누군가 불쾌하게 만들 수 있는 무언가를 발견했을 때를 기억할 수 없다. 하지만 그건 저뿐이에요. 저는 밖에 있는 사람들에게 정말로 다가갈 수 있는 것들이 있다고 확신해요. 아니요, 저는 자재들이 불쾌하다고 생각되면 선반에서 제거해야 한다고 생각하지 않습니다. 사람들은 그들이 모르는 것들에 대한 정보를 찾기 위해 도서관에 간다. 만약 여러분이 어떤 것을 확인하고 있다면, 여러분은 여러분이 동의하지 않는 어떤 것의 가능성이 있다는 것을 이미 알고 있을 것입니다. 나는 그것을 확인하는 사람보다 어떤 일이든 해야 한다고 생각한다. 저는 선반에서 본 것 때문에 좌절하거나 화내는 타입은 아니지만, 그런 사람들이 있다는 것을 상상할 수 있었습니다. 만약 내가 동의하지 않는 것을 발견했다면 나는 그것을 읽지 않거나 그냥 아무 생각도 하지 않았을 것이다. 나는 또한 그들이 모든 종류의 읽을거리를 가지고 있는 공공장소에 들어가기 전에 준비해야 한다고 생각해. 당신에게는 @MONTH1 이 불쾌하지만 다른 사람들에게는 웃긴다. 내가 하려는 말은 네가 읽은 것에 대해 너무 화내지 말라는 것이다.",2,2,3,3,2,2,2,3,3,2.44
1279,"나는 책들이 어떤 이유로 쓰이고 책 속의 단어들이 책의 요점과 일치한다고 믿는다. 그러나 나는 또한 사람들이 읽기에는 불쾌한 단어들을 보는 종류의 사람이다. 하지만 지금까지 저는 사람들이 불쾌한 표현을 쓴 책을 읽지 못하게 하는 것은 좀 어리석다고 생각합니다. 왜냐하면, 그 책의 저자는 거기에 있고, 만약 여러분이 한 단어를 바꾸면 책 전체를 바꾸게 되고 그것이 말하고자 하는 것을 바꾸게 되기 때문입니다. 하지만 어떤 책들이 너무 불쾌하다면 나는 사람들이 읽게 하지 않고 시장에서 책을 꺼내서 책을 팔아서 재판매하는 것이 좋다고 믿는다. 하지만 어떤 사람들은 이 책이 뭔가 다른 것을 말하고 있다고 생각할 것이지만 단지 다르게 표현된 것은 아니라고 생각하기 때문에 우리가 하는 변화에 대해 화가 날 것이다. 하지만 나는 사람들이 책을 읽는 것을 멈추지 않고 그들이 시장에서 계속 팔도록 해야 한다고 믿는다. 왜 이런 책들이 모욕적인 표현을 쓴 책에 실리게 하는 것이 좋다고 생각하는지, 물론 그것은 나쁘지만, 또한 그것을 모욕적인 것으로 보지 않는 사람들에게도 걱정된다. 불쾌한 표현을 쓴 책의 저자가 당신에게 상처를 주려는 의도는 아니었음이 분명하다. 나는 그들이 너에게 상처를 줘서 미안하다는 것을 마음속으로 알고 있어. 하지만 그들이 멈춰야 한다고 생각하는 이유는 어떤 사람들은 그것이 그들이 어렸을 때 또는 단지 한 단어로 그들이 싫어할 수 있는 어떤 것에 관한 것일 수도 있다는 것을 불쾌하게 여기기 때문입니다. 하지만 만약 그들이 어떤 단어를 발견한다면 그들은 읽는 것을 중단해야 한다. 나는 누군가가 좋아하지 않는 단어가 하나 있을지도 모른다는 이유만으로 그들이 책을 가져간다면 매우 불공평하다고 믿는다. 하지만 다른 사람들에게 그것은 그들에게 아무것도 아니다. 저는 모욕적인 표현을 쓴 책들은 책 뒷면에 어딘가 경고문을 붙여야 한다고 생각합니다. 만약 그것이 불쾌하게 작용한다면, 저는 이것이 많은 사람이 그것을 시작하는 데 도움이 될 것으로 생각합니다. 책은 책이기 때문에 책 뒷면에 있는 이야기를 항상 읽어야 하고 불쾌하고 책을 사지 말라는 내용이 마음에 들지 않으면 읽어야 하기 때문이다. 표지가 꽃으로 되어 있을 수도 있고 책이 꽃에 관한 것이 아닐 수도 있기 때문에 항상 표지만을 보고 책을 사는 것은 좋지 않다. 책의 외부와 내부를 모두 보고 선택해야 한다.",4,2,4,4,4,3,3,4,3,3.44
1280,"도서관은 학습의 중심지이다. 그들은 모든 종류의 다양한 정보를 제공하기 위해 그곳에 있다. 그런데 왜 불쾌한 물질을 빼야 하죠? 모든 것을 아는 원천인 인터넷이 있기 전부터, 사람들은 연구를 위해 도서관에 의존했다. 나는 우리 도서관에서 물건을 꺼내야 한다고 생각하지 않는다. 공공 도서관은 어쨌든 책꽂이에 꽂은 @CAPS1 에 대해 항상 좋은 질책을 해왔다. 캐서린 패터슨이 예전에 말했듯이, 우리는 모두 우리의 아이들 또는 다른 어떤 아이들도 책꽂이에서 꺼내지 않았기를 바라는 책을 생각할 수 있다. 하지만 제가 그 책을 책꽂이에서 치울 권리가 있다면, 제가 싫어하는 그 책도 여러분과 똑같은 권리가 있고, 다른 사람들도 마찬가지입니다. 그리고 우리 모두를 위한 책이 선반 위에 남아있지 않습니다.' @CAPS1 은 모든 사람이 특정한 의견을 가지고 있다고 말합니다. 그들은 다른 것들에 불쾌감을 느낍니다. 그러므로 만약 누군가가 그들이 불쾌하다고 생각하는 책을 책꽂이에서 꺼낼 권리를 가질 수 있다면, 우리는 책꽂이에 어떤 책도 가지고 있지 않을 것이다. 만약 우리가 인터넷이 발명되지 않은 시대로 돌아간다면, 우리가 책꽂이에서 특정한 책을 꺼내야 하는지에 대한 문제는 없을 것이다. 그들이 의지한 것은 그것뿐이었다. 예를 들어, 연구와 오락이 있다. 요즘 사람들은 버릇이 없어요. 우리는 작은 화면으로 바로 가서 우리가 알고 싶은 모든 것을 입력할 수 있고, 몇 분, 때로는 몇 초 안에 찾을 수 있습니다. 사람들은 막 나온 최신 영화를 사러 집을 비울 필요도 없고, 인터넷으로 주문하거나 @ORGANGION1 에서 빌릴 수도 있다. 만약 사람들이 @CAPS1 이 도서관에 있는 것을 그렇게 걱정한다면, 왜 그들은 인터넷에 있는 모든 노골적인 쓰레기들에 대해 걱정하지 않는가? 때때로 사람들은 그들 바로 앞에 있는 @CAPS1 을 볼 수 없다. 내가 도서관에 가서 읽을 것을 찾기 위해 책을 뒤질 때마다, 나는 질문할 가치가 있는 책을 거의 발견하지 못한다. 도서관은 전형적으로 건전한 기업이며, 그들은 책장에 놓아둔 @CAPS1 에 대한 좋은 비난을 하고 있다. 그들은 항상 특정한 연령층을 가지고 있었고, 보통 사람들과 아이들은 항상 그들의 연령대를 고수했다. 내가 고른 책들도 모두 처음부터 끝까지 다 읽었다. 결론적으로, 도서관은 영원히 존재해왔다. 그들의 자료는 모든 연령대를 위한 연구와 적절한 오락거리를 제공한다. 우리가 인터넷을 가지고 있든 없든, 우리는 항상 믿을 수 있는 정보를 도서관을 가지고 있었다.",3,3,3,4,4,3,3,4,4,3.44
1281,"@CAPS1, 책, @CAPS2 또는 어떤 종류의 음악도 이 @NUM1 개의 카테고리에서 말하는 내용이 마음에 들지 않으면 책을 읽거나 읽거나 들을 수 없는 경우에는 선반에서 제거해서는 안 된다고 생각합니다. 당신이 그것을 좋아하지 않는다고 해서 다른 사람이 좋아하지 않는 것은 아닙니다. 내 말은 @CAPS1이 있다고 생각하거나 노래나 문장이 너무 끔찍해서 선반에서 꺼낼 필요가 있다고 생각합니다. 또한 누군가가 @CAPS1 노래를 읽거나 듣지 못했거나 내가 의미하는 바를 책으로 읽지 못했을 수도 있기 때문입니다. 게다가 노래, 책 또는 @CAPS1을 만드는 데 들인 모든 돈과 시간과 노력은 @CAPS1이 나오는 데 거의 @NUM2 년이 걸리고 노래가 나올 때 새롭지 않기 때문입니다. @NUM3 에서 내 발렌틴의 신곡을 위해 총알을 듣는 것과 같은 말을 듣지 마십시오. 새 책이 나오면 일반적으로 해리 포터와 같은 것이지만 아니요, @CAPS1은 서가나 책이나 음악에서 절대 빼서는 안 됩니다. 잡지도 아닙니다. @ORGANIZATION1",2,3,2,3,2,2,2,3,2,2.33
1282,"도서관이나 선반에 있는 가게에 있어서는 안 된다는 것은 당신과 내가 알고 있는 특정한 책, 게임, 그리고 음악이 있다. 우리가 공부해야 할 한 단어, 어린이들. 아이들은 미래이며. 미래에 일어나는 모든 것은 그들 때문에 일어날 것이다. 자, 그것을 끝내고 이렇게 말할 것이다. 나는 설명하고 싶다. 왜 @Organization1의 사람들로서 우리가 함께 극복해야 하고 책, 음악, 영화를 책꽂이에서 꺼내야 하는지 지적하고 싶다. 마약, 범죄, 폭력, 영화, 영화, 기타 등등. 랩퍼들은 대부분 여성, 살인자 등에 대한 랩을 한다. 그것은 그들이 그것을 한다는 것을 의미하는 것이 아니라, 그것은 우리 아이들의 대다수를 반영한다. 음악은 매일 텔레비전, 라디오, 그리고 아이팟을 통해 @NUM1 시간 동안 들린다. 그것은 남성 성별에 있어서 심지어 다른 단계로 나아갑니다. 그 이름으로부터 여성을 부르는 것은 그들이 음악을 통해 어떻게 생각되는지를 그들에게 전합니다. 만약 그들이 그것을 듣지 않는다고 해도, 그들은 확실히 그것을 보게됩니다. 많은 문제는 아이들이 잘못된 등급의 영화를 보게 하는 것에서 비롯된다. @CAPS1 등급은 아이들이 지금 보고 사는 것을 원하는 것이다. 그래서 이제 그것은 더 큰 삶의 기회를 준다. 그래서 우리는 우리의 아이들이 선반에서 집어들도록 하는 이 물건으로 두 다리로 묶었다. #@NUM2 물건 비디오 게임입니다. @PERCENT1 아이들은 비디오 게임을 합니다. 우리가 그것들을 만드는 것을 막을 수는 없지만, 나는 우리가 아이들이 그 나이 수준에서 그것들을 사는 것을 막을 수 있다고 강하게 믿는다.대부분의 게임들은 섹스, 마약, 폭력, 언어를 기반으로 한다. 이 시점에서 아이들은 그것을 매우 심각하게 받아들이고, 그들이 똑같이 할 수 있다고 강하게 믿는다. 그것은 죽음이나 감옥으로 이어집니다. 마약 사용, 학교 중퇴, 그리고 범죄는 우리의 높은 비율을 차지합니다. 바로 이 비디오 게임들 때문입니다. 우리가 선반에서 꺼내 놓은 아이들이죠. 아이들이 빨리 자라도록 강하게 자극하면서, 어린 시절의 삶은 건너뛰고. 그런데 왜 우리는 그것을 할 수 없을까? 나는 우리가 할 힘이 있는데 왜 우리가 그것을 할 수 없는지 이해할 수 없다. 그것은 모든 사람의 미래를 위해 우리에게 많은 도움을 줄 것이다. 범죄율은 낮아질 것이고, 시험 점수는 증명될 것이고, 우리의 미래는 더 밝을 것이다. 우리를 위해서 그리고 우리의 아이들을 위해서이다.",3,3,2,3,3,3,3,3,3,2.89
1283,"여러분이 공공 도서관에 들어가서 인종차별적이거나 불쾌한 책을 보았다고 가정해 봅시다. 당신은 책이 책꽂이에 있으면 안 된다고 생각해서 그것을 벗긴다. 나는 네가 그 책을 책꽂이에서 꺼낼 권리가 있다고 믿는다. 그것은 책뿐만 아니라 음악, 영화, 잡지, 또는 다른 많은 것들이 될 수 있다. 저자들은 언론의 자유를 가지고 있지만, 그것은 또한 반대로도 갈 수 있다. 그 이유는 여러 가지가 있고, 나는 이것을 너에게 설명할 것이다. 첫 번째 이유는 그 사람이 그 장소로 돌아오지 않을 수도 있기 때문입니다. 내 말은, 만약 누군가가 도서관에 가서 읽을 책을 찾으려고 한다면, 만약 그들이 그것 때문에 기분이 상했다면, 당신은 그들이 다시 돌아올 것이라고 생각하나요? 조금 전에, 저는 도서관에 있었는데, 불쾌하게 하는 책을 발견했습니다. 그것은 흑인에 대해 농담을 하는 것이었다. 나는 그것이 옳지 않다고 생각해. 왜냐하면 모든 사람은 그들이 어떻게 생겼거나 무엇을 믿든지 간에 평등하기 때문이야. 다음 이유는 자재 레이트가 떨어질 수 있기 때문입니다. 만약 누군가가 검열된 물질에 대해 불쾌감을 느낀다면, 그들은 그것을 보고하고 그 비율을 낮게 떨어뜨릴 것입니다. 어떤 도서관도 그들의 지역사회에 의해 보고된 책, 음악, 영화, 또는 잡지를 소장하기를 원하지 않으며 아무도 그것을 원하지 않는다. 누군가가 그것에 의해 불쾌감을 느낀다고 해서 그들의 자료가 보도되는 것에 대해 작가는 어떻게 느낄까? 만약 작가가 누군가의 기분을 상하게 하고 싶다면, 그들은 심지어 그것을 출판하려고 애쓰지도 말아야 한다. 마지막 이유는 재료를 없애기 위해서입니다. 아무도 그들을 불쾌하게 하는 것을 보고 싶어하지 않는다. 가족을 보기 위해 집에 영화를 가져갔는데, 그 영화에는 나쁜 것들이 들어있었고, 그것을 좋아하지 않았던 기분이 어땠을까요? 당신은 화가 나서 불평을 해요. 불평하는 것은 특히 정부 청사일 경우 사업에 좋지 않다. 만약 우리가 사람들을 불쾌하게 하는 것들을 없애버린다면, 우리는 아무런 문제가 없을 것입니다. 나는 만약 누군가가 그것에 불쾌하다면 선반에서 어떤 재료들을 제거해야 한다고 믿는다. 세 가지 주요 이유가 있습니다. 하나는 그 사람이 다시는 그 장소로 돌아오지 않을 수도 있다는 것이다. 다음으로, 성공률이 낮게 떨어질 수 있다는 것입니다. 마지막은 불평하지 않도록 재료만 없애는 것이다. 자, 당신은 무엇을 믿나요?",3,4,3,3,4,2,3,3,3,3.11
1284,"나는 도서관과 다른 대중매체 내의 검열은 잘못되고, 부도덕하고, 불공평하다고 믿는다. 작가, 예술가, 사진작가 등은 언론의 자유를 누릴 권리가 있다. 왜 소비자들은 자신들이 노출하는 것을 선택할 수 있는 동일한 권리를 갖지 말아야 하는가? 어떤 언론의 검열도 공공 소비자 장소에서 허용되어서는 안 되는데, 그것은 그것이 기본적인 미국의 권리에 위배될 뿐만 아니라, 그것은 또한 'CAPS1'의 삶에서 책임, 독창성, 그리고 표현을 빼앗아 가기 때문이다. 만약 부모나 고아들이 그들의 아이들이 특정한 미디어 장르에 노출되기를 바라지 않는다면, 그들의 자녀 환경에서 그것을 가로채는 것은 그들의 책임이 아닐까? 만약 부모가 정말로 특정 장르를 혐오한다면, 그들의 아이가 안전하다고 느끼는 환경을 만드는 것은 그 부모에게 달려있다. 음악, 잡지, 책, 영화의 일부 장르가 @MONTH1이 특정 연령대의 독자들에게 너무 생생하거나 성숙하다는 내용을 담고 있는 것은 이해할 수 있지만, 오늘날과 같은 상황은 피할 수 없다. 제 경험상, 저는 제가 @NUM1의 사건들을 이해하기에는 너무 어렸을 때, 부모님이 저에게서 이야기들을 가로챘다는 것을 알고 있습니다. 내가 방에 들어갔을 때 부모님은 그런 그래픽이나 폭력적인 내용이 나오는 텔레비전을 꺼주셨다. 그들은 이런 종류의 물질이 @NUM2의 나이에 누군가에게는 부적절하다고 느꼈고, 그래서 그들은 제 환경에서 그 물질을 빼냈습니다. 부모가 되면 다른 사람의 삶에 대한 책임을 떠맡게 된다. 이 책임에는 아동의 건강, 안전 및 주변 환경이 포함됩니다. @LOCATION1은 왜 자녀 양육을 부모에게 맡길 수 없는가? 아이들이 10대로 변하고 십대들이 어른이 되면, 그들은 많은 권리를 얻게 된다. 그들은 운전할 권리, 투표권, 그리고 책임감 있게 술을 마실 권리를 얻는다. 스스로 설명을 만드는 성숙도가 있다; 만약 여러분이 여러분의 나라를 운영할 사람을 결정할 만큼 충분히 성숙하다면, 어떻게 음악 선택처럼 중요하지 않은 것을 결정할 만큼 충분히 성숙하지 않을 수 있겠는가? 작가, 예술가, 작곡가, 사진작가들은 모두 @LOCATION1에 살면서 표현의 자유에 대한 권리를 가진다. 어떤 제품이 출판되고 공개되는지를 검열하는 것은 그 권리를 빼앗는다. 일부 @MONTH1은 예술가와 작가들이 여전히 자신을 표현할 권리가 있지만, 그들은 홍보하기 위해 위험하거나 그래픽적인 소재를 표현하고 있다고 주장한다. 이것은 이해할 수 있는 지적이지만, 정부가 그들이 홍보하고 싶은 것만 홍보하는 것은 누구인가? 왜 정부가 @CAPS1에 대한 완전한 통제권을 가져야 하는가? 만약 이런 일이 일어난다면, 권력에 굶주린 정치인들이 쉽게 지나칠 수 있을까? @LOCATION1은 더 이상 민주주의가 아니라 @LOCATION2와 같은 공산주의 국가가 되지 않을까? 미국인들은 '혼합 냄비'라는 것과 받아들이는 것에 자부심을 느낀다. 만약 @LOCATION1이 @LOCATION2와 같다면, 그것은 전국적으로 표현과 독창성의 제한을 의미할 것이다. 여러분은 독창성이 정말로 독창적이지 않고, 정부가 받아들이기로 결정한 것만이 허용되는 나라에서 살고 싶나요? 사람들이 다른 사람들에게 자유롭게 자신을 표현할 기회가 없는 곳에서 산다는 것이 자랑스러울까요? 난 안 그럴 거야 도서관을 통한 미디어의 검열은 작은 규모일 뿐이지만 검열은 검열이다. 그것은 특정 장르의 작곡가에 대한 차별이다. 그것은 @CAPS1의 삶에서 선택을 제거하는 것이다. 그것은 작곡가들이 언론의 자유에 대한 권리를 부정하는 것이다. 어느 쪽으로 보든 검열은 검열이고, 검열은 잘못된 것이다.",4,3,3,3,2,3,3,3,4,3.11
1285,"많은 사람들이 책, 음악, 영화, 그리고 다른 오락거리들을 대출하기 위해 도서관에 옵니다. 주로 아이들이 다른 연령대보다 도서관을 많이 이용한다. 도서관은 당신이 겸손하고 편안할 수 있는 장소입니다. 아무도 그것을 확인하고 싶어하지 않는다. 그것이 어떤 식으로든 모욕적이라고 생각한다. 나쁜 일에 영향을 줄 책도 안 돼요. 그러므로 도서관에서 대출하는 것이 허용되어서는 안 된다. 일부 영화들은 도서관에 있으면 안 된다. 예를 들어 어린이가 도서관에 가면 @MONTH1은 성적 활동이 포함된 영화를 보고 영화를 보기로 했습니다. 어린이 @MONTH1은 미성년자이고 그 영화는 부적절하다고 여겨질 것이다. 아이 @MONTH1은 보호자에게 혼난다. 사실 아이가 영화를 확인하게 한 것은 사서의 잘못일 것이다. 그것이 그 영화들이 검열되어야 하는 이유이다. 많은 잡지의 표지에 남성들뿐만 아니라 여성들도 노출되어 있다.그 @MONTH1은 아이들이 그 잡지에 끌리게 한다. 그들은 심지어 @MONTH1 잡지를 확인하기로 결정했다. 아이들은 그들이 보는 것에 영향을 받는다. 벌거벗은 몸을 보는 것은 나쁜 본보기가 될 것이다. 오늘날의 세계에서는 모든 아이가 음악을 듣는다. 여러분이 듣는 음악은 여러분의 삶에 큰 영향을 미칩니다. 도서관의 음악은 검열되어야 한다. 도서관에는 밖에 나가서 인생의 무언가가 되도록 격려하는 음악이 있어야 한다. 내 생각에는 영향력 있는 음악만 대여할 수 있어야 한다. 독서는 성공의 열쇠이다. 도서관에는 여러분을 교육할 뿐만 아니라 어휘를 늘리는 데 도움이 되는 책이 있어야 합니다. 성적인 것에 대해 이야기하거나 심지어 성에 대해 궁금하게 만드는 책들이 아닙니다. 도서관에는 역사, 수학, 그리고 교육적인 책만 있어야 합니다. 결론적으로 도서관의 모든 것은 검열되어야 한다. 많은 어린이들이 도서관을 이용합니다. 따라서 적절한 연령이어야 합니다. 어떤 아이도 나쁜 영향을 받을 필요가 없다. 혼란을 줄이기 위해 어떤 생각은 선반에서 제거되어야 한다.",3,3,4,3,2,3,3,3,3,3
1286,"영화나 잡지는 선반에서 치워져야 한다고 생각해요. 왜냐하면 그 안에 어린 아이들이 보거나 볼 수 있는 것들이 있을 수도 있으니까요. 영화와 잡지는 때때로 몇몇 아이들에게 아이디어를 줄 것이고 그 책들은 사람들이 말할 단어들이 있었기 때문에 제거되어야 하고 랩 음악이 있기 때문에 그 음악은 제거되어야 한다. 사람들이 들으면 안 돼요. 음악은 때때로 모든 연령대에 적합하지 않고 사람들에게 그들이 말하거나 하는 것에 대한 아이디어를 줄 수 있다. 그 책과 잡지는 사람들에게 그들이 말하고 하는 것에 대한 아이디어를 줄 수 있고 그들은 자신이 말하는 것에 대한 어떤 것도 믿을 수 있다. 사람들은 좋은 책과 좋은 잡지를 읽고 좋은 음악을 들어야 한다. 그들은 모두 나쁜 짓과 나쁜 짓에 대해 이야기하거나 그들이 어떻게 살아가는지에 대해 이야기하기 때문에 불쾌합니다. 사람들은 랩 음악을 듣거나 잡지를 읽거나 다른 사람들에게 아이디어를 줄 책을 읽으면 안 된다. 그 책들은 때때로 오래 전에 있었던 일이나 그런 것들에 대해 이야기합니다. 그리고 그것은 때때로 사람들을 화나게 합니다. 그 잡지들은 때때로 사람들에게 과거에 무슨 일이 있었는지 말해주고, 그리고 나서 사람들은 더 이상 어떤 잡지도 읽고 싶어하지 않습니다. 사람들은 더 이상 음악을 듣거나 책을 읽고 싶어하지 않습니다. 대부분의 사람들은 대부분의 책, 잡지, 그리고 음악이 아이들과 어른들에게 나쁘다고 생각할 것입니다. 음악은 랩이나 힙합처럼 듣기 좋은 것이 아니기 때문에 불쾌하다고 생각합니다. 사람들은 록 음악을 듣지 말아야 하고 그저 적절한 음악을 들어야 한다. 책은 모든 연령대에 적합해야 하고 그들이 좋아하는 것을 읽어야 한다. 그들은 그들이 좋아하고 좋고 적당한 잡지를 읽어야 한다. 음악은 불쾌합니다. 왜냐하면 그들은 부적절한 것에 대해 이야기하기 때문입니다. 그리고 그들은 그것을 듣지 말아야 합니다. 그리고 잡지는 부적절한 것을 가지고 있고 책들은 부적절한 것을 가지고 있습니다. 사람들은 그것을 좋아하지 않을 것이고 그들은 그것을 다시 확인하고 싶지 않을 수도 있고 아무것도 확인하지 않을 수도 있다. 나는 그들이 사람들이 좋아할 만한 책 몇 권과 음악을 선반에 올려놓아야 한다고 생각한다. 그들은 사람들이 보거나 읽고 싶어할 몇몇 잡지들을 선반위에 놓아야 한다.",2,2,3,2,2,2,2,3,2,2.22
1287,"나는 이 시험이 바보같다고 생각했다. 나는 읽고 쓰는 것을 싫어한다. 나는 너희 모두가 우리가 레벨에서 읽고 레벨에서 쓸 수 있는지 확인해야 한다고 생각한다. b,c 레벨의 많은 아이들은 @NUM1이나 @NUM2 학년처럼 심지어 많은 선생님들이 연말까지 이 자료를 가르치지 않을 때까지 이 시험을 치르지 않을 것이기 때문에, 나는 모두가 테스트하는 것 중 일부는 바뀌어야 한다고 생각한다.나는 네가 시험하는 것을 좋아하고, 시험이 얼마나 오래 걸리는지 읽고 쓰는 수준에 더 집중해야 하지만, 시험이 여전히 여기 있어야 한다는 것에 동의한다. 왜냐하면 그것은 부정행위를 통해 수업을 통과한 사람들에게 도움이 되고 열심히 공부해서 그것을 통과한 사람들에게 도움이 되기 때문이다. 나는 어떤 이유로 종이에 출제되는 대체 시험이 있어야 한다고 생각한다. 아이들은 컴퓨터로 시험을 보는 것보다 종이에 시험을 더 잘 본다. 나는 이것이 내가 시험에 대해 느끼는 방법이다. 나는 내가 불쾌한 자료에 대해 써야 한다는 것을 알지만 나는 그것에 대해 어떻게 생각하는지 생각할 수 없었고 이것은 내 중간에 있는 물건이다. 그래서 나는 너에게 내가 너를 매우 많이 생각하도록 알려주려고 생각했다.",2,2,3,2,2,2,2,2,2,2.11
1288,"도서관에는 물론 책들이 있다. 미스터리, 로맨스, 만화, 전기 그리고 당신이 생각할 수 있는 다른 모든 것들이 있다. 현재 도서관에는 잡지, 영화, 심지어 CD도 있다. 그리고 도서관에는 그 책들과 잡지들도 있다. 그 책들은 내가 직접 책꽂이에서 주울 수 없는 책들이야. 내 미래의 자식들이 주울 수 있게 하기는커녕 말이야. 이것은 그 책들이 젊은이들의 두뇌에 전혀 도움이 되지 않는 자료들을 포함하고 있기 때문입니다. 그것이 바로 내가 그 책들이 검열되어 내 아이가 그 책들이 거기 있는지도 모를 수 있기를 바라는 이유이다. 이 책들은 사람들이 섹스를 하고 마약을 하는 것을 담고 있고 이 책들에서 그들의 언어는 끔찍하다! 이것들은 어린아이들이 관심을 갖게 된 책들의 종류인 것 같다. 그들은 학교에서 그것들을 읽고 어떻게든 친구들에게서 그것들을 얻습니다. 그들은 또한 그것들을 도서관에서 찾기도 하고 읽을수록 더하고 싶어진다. 왜냐하면, 그것들은 매우 쉽게 영향을 받기 때문이다. 그들은 때때로 존재하지도 않는 책 캐릭터들에 의해 영향을 받는다. 내가 책을 검열해야 한다고 느끼는 이유는 여러 가지가 있지만 가장 큰 이유 중 하나는 젊은이들이 이런 종류의 책을 읽기 때문에 나가서 책에서 읽은 것을 하기 때문이다. 괜찮다고 생각하는 것은 현실적이지도 않은 사람이 대부분 그렇게 하기 때문입니다. 저는 이 책들이 아기들이 밖에 나가서 성관계를 하고 임신을 하고 11살 엄마가 되는 이유라고 생각합니다. 어디서 그런 말을 들었지만, 그런 일이 있고, 그 아이들이 고등학교 1학년이 될 때, 거기까지 간다면, 그들은 11살 때 가졌던 아기의 책임을 지고 있는 것이다. 그 같은 아이들은 그들의 처지가 얼마나 달랐을지 궁금해하며 인생을 살아갑니다! 그래서 저는 이 책들이 다른 세대의 아이들을 엉망으로 만들기 전에, 여기서 그만두는 것이 어떻겠습니까? 왜 다른 아이가 열 살에 임신을 해야 다른 사람이 상황을 바꿀 때라는 것을 깨달았을까요? 열 살짜리 아이들은 여전히 아기입니다! 인간의 뇌는 25세 전후가 될 때까지 완전히 발달하지도 않는다. 그래서 이 아이들은 그들이 읽고 있는 것이 틀렸는지 알지 못합니다. 왜냐하면 그들은 그것이 매우 틀렸다는 것을 배우지 못했기 때문입니다. 왜냐하면 그 나이에는 어떤 부모도 그들이 섹스를 하지 않도록 가르쳐야 할 것이라고 기대하지 않기 때문입니다. 왜 당신은 @MONTH1을 물으십니까? 왜냐하면 10살이면 아이가 성에 대해 무엇을 알아야 하기 때문입니까? 그 나이에 그들은 여전히 아기 인형에 색을 칠하고 노는 것을 좋아하거나 @CAPS1 @CAPS2와 @CAPS3를 좋아한다. 그들은 그것이 무엇인지 아는 것은 고사하고 심지어 성에 대해서도 생각해야 한다. 도서관에서 이런 종류의 책이나 잡지를 읽거나 보는 아이들이 일어나서는 안 되기 때문에 이 자료들은 진열대에서 치워져야 한다. 또 다른 세대가 그들의 삶을 엉망으로 만드는 것을 막는 것이 가장 좋은 해결책이다. 결국 부모는 자녀가 미래에 행복한 삶을 살 기회를 놓치지 않도록 확실히 할 기회를 얻어야 하지 않을까?",2,2,2,2,2,2,2,2,2,2
