id,essay,C1,C2,C3,O1,O2,E1,E2,V1,R1,Creativity_score,,,,,,
978,유튜브를 보면 해외에 유학간 유학생들의 생활이 담긴 영상들을 볼 수 있다. 그런데 2021년을 살아가고 있는 이때에도 인종차별이 이루어지고 있고 이전보다 더 나아진편이라고도 볼수가 없다. 그들의 사상은 여전히 백인우월주의로 가득차있다. 어느 유튜버가 인종차별을 당했다는 제목으로 영상을 올렸다. 백인남학생과 화상채팅을 하는 영상이였다. 그들은 그 유학생을 보더니 욕을 하기 시작했고 손가락으로 눈을 찟으며 원숭이 흉내를 내는것이였다. 쌍꺼풀이 없는 동양인의 특징적인 모습을 조롱하듯 흉내내는 모습이였다. 이 유학생은 흥분하지않고 불쾌감을 드러냈다. 백인남학생이 낄낄거리며 흉내를 낼 때 가만히 지켜보더니 '니가 하는 행동은 인종차별적 행동이다 알고하는것이냐' '알고한다 이원숭이야' '그렇다면 백인이 뭐가 우월해서 동양인을 무시하는지 설명해봐라' 그러자 그 백인 남학생은 설명을 하지못하고 머뭇하더니 다시 원숭이 흉내를 내면서 그냥 너는 내가 하는거나 보고 꺼져버리라는등의 욕설을 퍼붓기 시작했다. 그 백인남학생은 백인이 뭐가 우월한지도 설명을 못하면서 그냥 놀리고 있는것이였다. 이것은 그 아이들이 어릴때부터 인종차별을 봐왔고 그것이 그들의 관념이 되어 이유를 알지못한채 인종차별을 일삼는 것이다. 이 아이의 성품도 좋은 것은 아니지만 바로 그의 부모와 주변의 어른들 그리고 그 학생이 접했던 문화들이 인종차별을 해왔기 때문이다. 나이많은 보수성향의 백인이 그렇다면 옛날 사람이니까 이전세대의 사상을 가지고 있기 때문이다고 이해아닌 이해를 해볼수 있겠지만 중학생 정도로 보이는 남자아이가 이런 인종차별을 하는 것을 보면서 한사람이 아닌 사회 전반적으로 뿌리박혀있는 백인우월주의 사상이 아직도 그대로인 것 같다는 생각이 들었다. 이것은 미국과 유럽국가에서 적극적으로 행동으로 옮기는 대처가 필요하다. 글로벌에 맞춘 그들의 의식수준이 따라와야 할 부분들이다.,4,4,3,3,3,3,3,3,3,3.22,,,,,,
979,"우리나라에도 인종차별이 많다 그건 아마 모두 느끼고 있을 것이다. 인종차별이 존재하고 있음을 느끼게 되는 현장은 바로 외국인 노동자가 있는 곳이 가장 확실할 것이다. 흑인노예제도때의 차별과는 다르지만 외국인을 노동자로서 받아들이고 대하는 현장에서는 백인보다는 흑인들이나 못사는 동남아인들이 대부분이다. 좀 오래된 통계기는 하지만 2018년 통계에 따르면 국내 체류 외국인은 236만7607명으로 10년사이 약 120만명이 늘었다고 한다.늘어난 인구만큼 그들에 대한 우리 사회의 역할과 그에 대한 인식도 점차 그 면적을 넓혀가고 있다. 덩달아 인종차별적 요소가 담긴 언어적 표현도 늘어나면서 우리사회의 인권 경시풍조가 부끄럽게 민낯을 드러내게 되었다. 미국 또는 유럽권의 여행을 다녀와서 인종차별을 당했다는 경험담을 이야기 했으면서도 정작 자신이 인종차별적인 언어와 행동을 하고있다는걸 인식하지는 못하는것인지 참으로 안타까운 모습이다. 검은피부의 흑인 남성을 의미하는 흑형,파키스탄 출신 이주노동자를 의미하는 파키벌레, 중국동포를 비하하는 표현인 짱께, 외국인 노동자를 줄여서 지칭하는 외노자등 단어에 따라 나름 친근한 의미로 이해하고 사용하는 사람들도 있지만 어디까지나 인종을 폄하하고 인권을 무시한 혐오차별 발언이다. 외국인들을 대상으로 한 혐오차별이 끊이지 않는다는 이야기는 참으로 부끄러운 일이 아닐수 없다. 한때 난민이기도 했던 우리가 독일과 중동으로 나가 외국인 노동자로 살았던 우리가 지금의 외국인 노동자들인 그들에게 비하와 혐오의 차별대우를 한다는 것은 너무 부끄러운 일이다. 무엇보다도 우리나라에 온 외국인 노동자들에 대한 인종차별을 근절하기 위해서는 사회 곳곳의 인식의 개선도 필요하겠지만 노동자를 보호하고 이해할수 있도록 제도적 보완이 필요하다고 생각한다.",4,3,3,3,3,3,3,3,3,3.11,,,,,,
980,인종차별은 남녀차별만큼이나 예민한 사항인 것 같다. KBS가 특집 제작한 호모 미디어쿠스의 포스터가 인간의 진화과정을 그리면서 처음에는 흑인이였다가 최종진화한 쪽이 백인의 모습을 하고 있으면서 논란이 되었었다. 흑인이 진화해서 백인이 된다는 것이냐 하는 논란인데 사실 내가 봤을때는 진화과정에서 다양한 인종을 나타내기 위해서였고 우리가 모두 알고 있는 인류 최초의 인간 루시가 흑인에 가까웠기 때문에 표현을 흑인에서부터 시작한 것이 아닌가 하고 생각한다면 너그럽게 이해하지 못할 것도 없다. 하지만 이 인종차별은 예민하고 보는 사람들의 시점에 따라 불쾌감을 주게 되는 것이다. 왜냐면 이 인종은 자신의 소속이 어디인지가 드러나기 때문이다. 그래서 예민한 것 같다. 이와 비슷한 사례가 또있다. 이탈리아 프로축구에서는 종종 흑인선수들이 경기도중 관중들로부터 원숭이라는 조롱을 받아 문제가 돼왔다. 이탈리아 프로축구 세리에A가 인종차별을 방지하기 위한 포스터에 3마리의 원숭이 얼굴을 사용해 무신경하다는 비난을 받은 것이다. 나는 이 포스터를 보자마자 인간의 조상이 다 하나에서 시작되었다는 의미구나 라고 생각은 했지만 이 원숭이는 동양인과 아프리카인들을 인종차별할 때 주로 쓰이는 것이기에 비난을 피할수 없는 것 같다. 백인 원숭이를 그리고 너도 똑같은 원숭이다 이런의미라면 이것도 차별이 될수있겠다는 생각이 든다. 인종차별이 없어져야 하는건 맞다. 정말 크리에이터들이 인종차별의 의도를 가지고 만들었다면 지탄받아 마땅하다. 하지만 봐도 의도를 알아볼수 있는데 굳이 예민하게 모든사안을 인종차별로 몰아가야하는걸까 하는 생각이 든다. 이게 더 우리로 하여금 인종차별을 의식하게 만든다. 개선이 필요한 부분은 조용히 개선이 되도록 했으면 좋겠다. 언론이나 방송을 통해 두들겨 패듯 하니 먼지가 더난다고 나할까 인종차별을 문제화하고 개선하고 싶다면 사건을 들춰내는것만 하지말고 개선안을 제시하고 언론의 보도역시 인종차별의 시선으로 보지않도록 중간자적 역할을 해주면 좋을것같다.,4,4,4,3,3,3,3,3,3,3.33,,,,,,
981,인종차별은 같은인종이라고 생각하는 특정한 인류집단이 다른 인종이라고 생각하는 집단에게 하는 차별을 의미한다. 단순한 적대감만이 아니라 호감도 포함된다. UN이 인종차별을 막으려고 해마다 3월 21일을 세계 인종차별 철폐의 날로 지정했다. 인종에 생물학적 우열을 가정하여 차별적 의도로 쓰는 행위는 과학적으로 말도 안되는 소리라는건 모두 잘알고 있고 과학적으로도 증명이 되었지만 그것과 무관하게 관습적으로 너무 깊이 박혀있는 부분인 것 같다. 인종차별하면 떠오르는 나라 미국이다. 19세기 중반까지도 노예제를 공식적으로 유지했고 그 노예제를 둘러싼 여러 이유로 남북전쟁이라는 내전까지 치렀던 미국이 아닌가 그러나 지금까지도 차별이 남아있다. 보통 인종이라는 것이 처음 부각된 것은 제국주의 시대의 식민지 경영과정에서였다고 알려져 있는데 백인들은 인종간의 관계를 위계서열화하여 자신들의 착취를 정당화했다. 그 인종간의 차이는 우열관계로 생득적인 우열관계로 설명된다. 예를들어 유색인종들은 IQ가 더 낮다라는 말이 나오고 생물학적으로 열등한 종자들이라고하면서 백인들끼리의 자화자찬을 즐겼다고한다. 따라서 이런 열등한 종자들과의 접촉은 하등의 좋을 것이 없고 생활하는 구역 교통수단 이용하는 식당 앉는자리 취업분야 등 아예 공식적으로 차별적 정책을 만들어 확실하게 못박아 놓은 경향이 벌어졌었다. 그러다 이종의 도가니를 표방하는 미국이다 보니 왜그래 우리모두 미국인이지 인종이 어딨어 라고 말하는 것이 사회적으로 장려되는데 물론 기존의 인종차별보다는 바람직하긴 하지만 그결과 유색인종들의 삶의 경험과 문화적 차이 사회적 필요에 대해서는 까맣게 잊고 살아가는 것이 가능해진다는 또다른 문제가 발생한다고 한다. 결국 인종적 차별을 해서도 안되지만 인종을 의식하지 않고 정책이나 시스템을 만드는것도 옳지않다는 것이다. 의식하지 않고 만드는 정책과 시스템이 백인에게 맞춰져 있을것이기 때문이다.,3,4,4,3,3,3,3,3,3,3.22,,,,,,
982,인간사회에서는 무수한 경위를 통한 차별행위가 시시각각 나타난다. 그중에 하나가 소속을 기반으로 한 차별로 이는 단순히 소속가정 소속단체 소속사회 소속 국가등의 차이를 가지고 상대를 차별하는 행위를 의미한다 여기서 인종차별은 주로 사람의 피부색 등 눈에 띄게 보이는 외형적인 요소를 기반으로 너와 나는 소속 인종이 다르다는 이유로 차별하는 행위를 일컫는다. 인종차별은 역사가 오래된만큼이나 그 원인은 다양하지만 대체로 그 양상에서 우월감이 공통적으로 드러난다. 즉 문화적 요소 기술적요소 신체적요소를 비롯해 어떤 요소든 다른민족보다 자신들이 우월하다는 근거가 의식에 자리잡으면 그 우월의식을 통해 상대민족을 차별하게 되는 것이다. <문명의충돌>이라는 책을보면 어떤국민 민족의 문화 기술 사회등 전반적인 수준이 다른 타 민족에 비해 엄청나게 우월하다면 그 타민족들은 그 국민 민족의 제도 풍금등을 따라하기 마련이고 상대민족이 피지배 민족이거나 생산력 및 문화수준이 낮다면 그만큼 피지배 민족의 문화가 지배 민족에 퍼지는 속도가 늦는 것이 매우 일반적인 일로 여겨지고 있다. 여기서 민족의 우열이 가려지기 때문에 우월의식의 근거가 만들어 지고 이는 차별의식을 만들어내게 되는 것이다. 결국 처음 지배적 입장에 누가 있었냐는 것이고 그 자리에 백인이 있었던 것이다 .신체적으로 문화적수준이 백인에 비해 상대적으로 미개했던 동양인과 아프리카외 유색인종들은 대륙의 점령과 함께 미개한 그들의 문화를 백인의 문화로 잠식하고 개선함으로 백인들이 우월의 위치를 선점한 것 뿐이다. 그 외에는 어떤이유로도 이들이 우월하거나 지배할 자격도 근거도 없다. 지금의 인종차별은 무수한 시간이 흘렀음에도 변치않는 인종이라는 차이이의 갭을 줄여가지 못하는 모습이다. 이것은 분명 누군가는 원하지 않기 때문이고 그것은 우월한 쪽일 것이다. 그렇다면 어떻게 개선되어져야 할까. 시간이 걸리더라도 유색인종의 국민이 문화가 기술이 사회전반적으로 우월해져야한다. 그래서 문화가 섞이고 백인들이 받아들여지게 될 때 이 상대적 우월감은 극복될것이라 예상한다.,4,4,4,3,3,3,3,3,3,3.33,,,,,,
983,백인우월주의자들을 단순히 혐오하는것은 좋은 해결책이 아니다. 그보다 더좋은 해결책은 인종차별적 행동을 방관하지 않고 함께 잘못된 점을 꼬집고 뿌리깊게 부패된 시스템 그 자체를 바꾸는 것이라 생각한다. 거기에 정부와 사회단체의 목소리와 액션이 필요하고 언론과 미디어가 목소리를 높여줘야한다. 방관해서도 침묵해서 안되는 일이다. 우리나라에만 사는 사람들은 잘 느끼지 못하지만 유학생들이나 이민자들의 이야기를 들어보면 인격적인 대우를 받지 못하는 경우가 아직도 많다고 한다. 세상은 우리가 소리를 내지 않으면 변하지 않는다 자신이 어디에 있든 상관없이 어떤 형태로도 차별은 찾아올 것이다. 그러하기에 차별을 하고 차별을 받아 서로 혐오하고 적대하는 감정적 대응은 인종차별문제를 해결할 수 없다. 인종차별문제에서 항상 가해자의 자리에 서있는 백인 그리고 피해자의 자리에 서있는 유색인 하지만 글로벌시대라고 하지만 이제는 나라와 나라의 혐오로 세분화된 차별이 생겨나려고 한다. 코로나가 막 시작될 무렵 나는 가족들과 스페인 관광을 갔었다. 스페인에 있는 쇼핑센터에서 매장에 들어설때마다 들어야 했던말은 아유프롬 차이나? 였다. 코로나로 인해 중국인은 받지 않겠다는 것이였다. 나는 한국인이라고 밝혔지만 직원들은 반가워하지 않았다. 물건을 보고 나갈때까지 멀리서 지켜보기만 할 뿐 어쩌면 쇼핑을 할 사람이 아닌걸 알아본 걸지도 모르겠다. 이 직원들의 태도 역시 차별적인 대우이다 인종의 차별이거나 부의 차별이거나 차별이나 따돌림이 주는 사회적 고통이 사람의 뇌에 주는 충격은 몸에 화상을 입는 정도의 아픔만큼이나 크다고 한다. 바로 이런마음의 상처들이 피해의식으로 자리잡아 이후엔 차별이 아닌 구별임에도 그 상황을 괴로워하고 힘들어하게 될지도 모른다. 이런 인간의 마음에 편견과 피해의식이라는 세상을 보는 굴곡진 시각을 갖지않도록 우리모두는 인종차별의 현장과 시스템을 방관하지 말고 정부와 사회단체에게 적극적으로 목소리를 높이고 인종차별이 얼마나 끔찍한 것인지를 언론과 미디어가 알림으로 보여지는곳에서도 보여지지않는 곳에서도 인종차별이 더 이상 뿌리내리지 못하게 해야할 것이다.,4,4,4,4,3,3,3,3,3,3.44,,,,,,
984,"저는 백신이나, 먹는 코로나 치료제 등에 대해 특허권을 보장해줘야한다고 생각합니다. 이번에 먹는 코로나 치료제를 만든 회사 머크에서 저소득 국가 100여국을 대상으로 제조 특허권을 열어주어 화제가 되었습니다. 이러한 시국에 누구에게 보호받지 못하고 있는 저소득 국가들에게는 굉장히 좋은 일이라고 할 수 있습니다. 그렇지만 그 동안 백신 회사들이 열심히 특허권을 지키려고 하는데에는 이유가 있을 것입니다. 비상상황에 의해 특허권을 일시적으로 열어주는 것이 세계적으로 봤을 때는 인류애적이고 좋은 현상일 수 있습니다. 한 제약회사에서 그 백신을 만들기 위해 기술이나 제조를 시행했던 비용들을 책임져줄 사람이 없다는 것에 의미이기도 합니다. 만약 내가 기술을 만들기 위해 시간적이나 기술을 무료로 제공하라는 국가들의 이야기를 그냥 들어줬을 때 나에게는 너의 재능을 그냥 기부 한다고 하자라고 생각할 것 같습니다. 또한 비용이나 시간이 없으면 다음에 이런 상황이 생겼을 때 나라는 사람이 이것을 다시 연구하고 개발하려고 할까라는 질문에 대해 회의적이라면 너무 많은 시간과 비용 그리고 나의 노력이 들어가기에 그것을 알아주지 못한다면 안 할 것 같기 때문이다. 이번 마크의 행보는 굉장히 칭찬받을만한 것이 마땅하다고 생각합니다. 하지만 그것이 모두에게 '선행'일지에 대해서는 회의적이라는 의미인 것일 수도 있습니다. 그리고 이번 머크의 행보로 인해 머크 다음으로 화이자 코로나19 치료제가 유력하게 한시개방을 허용할 것이라는 이야기가 떠돌고 있습니다. 화이자가 mRNA 백신 특허의 한시적인 개방도 동의하지 않으며 전 세계적으로 비난을 받았기 때문이라는 이유입니다. 화이자는 이미 많은 사람들을 살리는데에 도움이 되었다고 합니다. 너무 지나친 비판은 그들이 다음에 이런 사태가 생겼을 때 움직이지 않을 수 있는 큰 이유가 될 수 있습니다.",3,3,4,3,3,3,3,3,3,3.11,,,,,,
985,"코로나 바이러스는 전세계적으로 약 500만명의 목숨을 앗아간 질병입니다. 뿐만 아니라 강한 전염성으로 일상생활에 지장을 주었고 소상공인들에게도 큰 경제적 피해를 안겨준 질명이기도 합니다. 최근 다시 확산되기 시작한 코로나 바이러스 때문에 백신의 중요성이 대두되고 있습니다. 그 와중에 백신의 지적재산권을 인정해야 하는 지에 대한 갑론을박 역시 벌어지고 있습니다. 저는 백신의 지적 재산권을 인정해야 한다고 생각합니다. 백신의 지적재산권을 인정하지 않아야 한다는 주장이 나온 배경은 백신의 고급이 원활하지 않기 때문입니다. 하지만 이 문제는 백신의 특허권을 푼다고 해결 될 문제가 아닙니다. 백신 공급 부족의 근본적인 문제는 특허가 아닌 생산력 및 수출 규제입니다. 현재 인도를 비롯해 세계적으로 가장 시급한 문제는 수백만 명을 위한 백신을 빠르게 공급하는 것으로, 이를 우선적으로 해결해야 합니다. 하지만 지금 백신 생산 공장은 백신을 최대치로 만들어 내는 상황입니다. 또 특허를 포기해도 각국이 백신 생산 노하우와 생산기술, 시설 등을 갖추기까지 상당한 시간이 걸린다는 분석이 주류입니다. 무작정 특허를 풀 것이 아니라 현실적이고 효율적으로 문제를 해결하기 위한 방안이 필요합니다. 현 백신 제조 회사들의 공급 물량 확대를 위해 수출 규제 제거, 제조 능력 증대 투자, 백신 부족 국가에 공급 의지를 개선해야 한다고 생각합니다. 백신의 지적 재산권을 인정하지 않게 되면, 백신을 제조하기 위해 많은 기업들이 원료를 찾아다니게 될 것입니다. 원료 탱탈전이 일어나게 된다면 오히려 백신의 공급을 저하시킬 수도 있습니다. 또, 백신 제조 경험이 부족했을 때에는 백신의 품질과 안전성은 물론 효과에도 악영향을 줄 수 도 있습니다. 이런 이유로 저는 백신의 지적재산권이 보장되어야 한다고 생각합니다.",4,3,3,3,3,3,3,3,3,3.11,,,,,,
986,"백신의 지적재산권 무상으로 공개 찬성합니다. 지식의 독점을 막기 위해 만들어진 '카피레프트'라는 용어 또한 글자그대로 저작권을 뜻하는 카피라이트에 반대한다는 뜻에서 붙여졌습니다. 즉, 저작권이 창작자의 권리에 초점을 두면 정보 독점의 부작용을 낳을 수 있기 때문에 카피레프트가 나온 것입니다. 저작권을 엄격하게 적용하면 문화·예술 분야 창작물이 널리 이용될 수 없다고 생각합니다. 소수의 창작자가 지식과 정보를 독점해서는 안 된다는 게 카피레프트의 근본정신이지만, 그렇다고 카피레프트가 남의 저작권을 전혀 인정하지 않거나 저작물을 모두 공짜로 써야 한다고 생각하는 것은 아닙니다. 카피레프트는 창작자가 저작권을 스스로 포기하는 방식으로 나타납니다. 즉 자신의 저작물을 다른 사람이 자유롭게 이용해도 된다는 별도 표지를 붙여 정보 공유를 하는 것입니다. 지식은 개인 소유물인가 사회 자산인가에 대해 카피라이트와 카피레프트를 가르는 잣대는 지식과 정보를 보는 관점이라고 볼 수 있습니다. 카피라이트는 지식·정보와 이를 매개로 한 저작물을 개인 자산이라고 보며, 지식을 제공하기 위한 개인의 노력에 초점을 둔 것입니다. 반면에 카피레프트는 지식·정보·저작물을 개인이 아닌 사회 자산이라고 보며, 인류가 이뤄 놓은 지식을 기초로 창작이 이뤄진다는 생각에서 나온 것입니다. 저는 백신에 대한 지적 재산권, 특허권 또한 이러한 이유들로 무상으로 공개해야된다는 입장입니다. 더 나아가 지식이나 저작물은 다른 사람과 나눠도 없어지지 않는데다 이용·향유가 늘수록 창작 행위가 활발하게 이뤄질 수 있다고 생각합니다. 앞으로 이러한 방향으로 잘 나아가 이러한 문제들이 잘 해결되는 행복하고 밝은 대한민국이 되었으면 좋겠습니다. 그럼 우리 모두 함께 더불어 살기 좋은 사회를 만들어 보는 것이 좋겠습니다.",3,3,4,3,3,3,3,3,3,3.11,,,,,,
987,"백신의 지적재산권 무상으로 공개 찬성합니다. 지식의 독점을 막기 위해 만들어진 '카피레프트'라는 용어 또한 글자그대로 저작권을 뜻하는 카피라이트에 반대한다는 뜻에서 붙여졌습니다. 즉, 저작권이 창작자의 권리에 초점을 두면 정보 독점의 부작용을 낳을 수 있기 때문에 카피레프트가 나온 것입니다. 저작권을 엄격하게 적용하면 문화·예술 분야 창작물이 널리 이용될 수 없다고 생각합니다. 소수의 창작자가 지식과 정보를 독점해서는 안 된다는 게 카피레프트의 근본정신이지만, 그렇다고 카피레프트가 남의 저작권을 전혀 인정하지 않거나 저작물을 모두 공짜로 써야 한다고 생각하는 것은 아닙니다. 카피레프트는 창작자가 저작권을 스스로 포기하는 방식으로 나타납니다. 즉 자신의 저작물을 다른 사람이 자유롭게 이용해도 된다는 별도 표지를 붙여 정보 공유를 하는 것입니다. 지식은 개인 소유물인가 사회 자산인가에 대해 카피라이트와 카피레프트를 가르는 잣대는 지식과 정보를 보는 관점이라고 볼 수 있습니다. 카피라이트는 지식·정보와 이를 매개로 한 저작물을 개인 자산이라고 보며, 지식을 제공하기 위한 개인의 노력에 초점을 둔 것입니다. 반면에 카피레프트는 지식·정보·저작물을 개인이 아닌 사회 자산이라고 보며, 인류가 이뤄 놓은 지식을 기초로 창작이 이뤄진다는 생각에서 나온 것입니다. 저는 백신에 대한 지적 재산권, 특허권 또한 이러한 이유들로 무상으로 공개해야된다는 입장입니다. 더 나아가 지식이나 저작물은 다른 사람과 나눠도 없어지지 않는데다 이용·향유가 늘수록 창작 행위가 활발하게 이뤄질 수 있다고 생각합니다. 지식재산권을 찬성하시는 분들은 그 창작의 고통과 자신의 창의성을 중요시하게 생각할 수도 있습니다. 하지만 전 세계에서 변이 바이러스는 끊임없이 생겨나게 될 것이며, 그렇게 된다면 백신을 맞은 사람들도 결코 안심할 수 없게 될 것입니다. 따라서 빠르고 공평하게 백신을 접종할 수 있도록 만드는 일은 매우 중요합니다.",4,4,4,3,3,3,3,3,3,3.33,,,,,,
988,저는 백신에 대한 지적재산권이 보호되어야 한다고 생각합니다. 비록 전세계가 코로나19 팬데믹 상황이긴 하지만 기존에 지켜져오던 지적 재산권의 권리는 보호되는 것이 맞다고 생각합니다. 그리고 백신을 모두 공유하기위한 방법은 국가간의 교섭입니다. 결국 이 제약회사의 개발이 국가 경쟁력이 되는것이고 이것으로 이익을 보는 것은 기업의 당연한 이치입니다. 이것이 특수한 경우라고 해서 그 개발에대한 특허권을 무효화할 근거는 아무것도 없습니다. 지금처럼 백신을 약국에서 맞고 쉽게 접종을 받을 수 있는 국가는 코로나 백신을 개발한 회사가 있는 국가입니다. 우리는 이런 국가들과 긴밀히 회의하고 조율하여 백신을 이용할 수 있습니다. 코로나가 전세계적인 문제이기에 빨리 종식시키기 위한 노력들은 계속 이어질 것입니다. 단 세계보건기구와 각국의 정상들이 이에 대한 협의를 하고 특허권을 푸는것에 포커스를 맞추는 것이 아니라 특허권을 인정하면서 모든 국가가 빠르게 백신을 공급받을수 있도록하는 방향을 모색함으로 그에 상응하는 댓가를 지불하고 또한 백신 개발국가의 경우 이 세계적인 팬데믹 상황이 사업의 기회로 삼는것이 아니라 전세계적인 재앙을 빠르게 종식시키는 것이 자국의 이익임을 인식하고 기업의 이윤보다도 세계적 평화와 안정을 우선시 해주기를 기대하고 바라는 것이 맞다고 생각합니다. 그리고 백신 개발국의 경우 막대한 이윤을 취하게 되므로 후진국이나 백신공급이 원활하지 않은 국가나 지역에 무상으로 제공하는 등의 사회공헌을 함으로써 이것이 실제는 이윤을 추구하게 되는 일이고 선진국과 후진국의 격차를 만들어 내는 일이 되는것이지만 그것이 사회적인 표면상으로 드러나지 않도록 전세계적 분위기로 번져가지 않도록 기업의 양보와 배려가 필요한 상황이라고 본다.,3,4,3,3,3,3,3,3,3,3.11,,,,,,
989,전 세계가 팬데믹인 상황에서 주요 국가들은 자국 이기주의 논리에서 빠져나오지 못하고 있다. 코로나19 위기 초반 K방역으로 세계에 주목을 받은 한국이 코로나상황이 점점 심각해지면서 감염병 대응의 새로운 모델을 제시하기위하여 치료제 개발에 힘을 쏟았다. 정부는 공공연구개발을 전폭적으로 지원하였으며 결과를 모두에게 투명하게 공개하고 개발한 지적재산은 공유함으로써 연구개발 성과의 공공성이 무엇인지 보여줄 기회라고 강조했다. 이 이야기는 코로나시국에 접어들면서 셀트리온이 코로나 치료제 개발을 하여렉키로나주를 개발하게 되어 국가와 사회의목소리를 옮긴 것이다. 셀트리온이 개발사로 되어있지만 이 치료제가 개발되기까지 정부와 여러곳의 협력으로 이뤄낸 성과라고 한다. 과학기술정보통신부는 영장류기반 연구에 35억원을 지원했고 임상시험 단계에 접어들면서 보건복지부는 1상과 2상의 연구에 필요한 개발비용 중 절반이 넘는 220억원을 지원했으며 앞으로 3상에 대한 개발비용도 지원할 예정이라고 했다. 식약처는 한달이상 걸리는 임상시험계획 승인을 일주일로 단축하기도 했고 기존에 임상시험을 실시할 수 없느 생활치료센터에서 임상시험이 가능하게 하는 등 제도를 최대한 유연하게 적용했고 180이 이상 허가심사단계가 걸리는데 38일만에 신속히 허가가 가능하도록 제도적 지원을 아끼지 않았다. 이렇게 공공과 민간이 힘을 합쳐서 통상3~10년이 걸린다는 신약개발의 임상시험과 허가단계를 단 6개월 내외로 줄일수 있었다.그리고 렉키로나주 개발과정에서 조건부허가는 한국 환자들보다 더 많은 외국 환자들의 참여로 일궈낸 성과라고 한다. 그러니 그 혜택을 전세계가 공유하는 것이 정의이며 윤리라는 주장이다. 이렇게 개발된 치료제는 기업의 이윤을 남길 생각을 하면 안되고 결국 국가자금이 국민세금이기에 공공의 이익을 위해 특허와 기술을 공유해야 한다고 생각한다. 이것은 대한민국이 함께 개발한것이지 셀트리온만의 개발품이 아니라는 뜻이다.,4,4,4,3,3,3,3,3,3,3.33,,,,,,
990,"전염병 백신에 대한 특허권 보장은 사회적 논란이 되어 왔다. 2009년 대한민국에서 신종플루 사태가 발생했을 때도, 치료제인 타미플루의 공급이 부족해지자 해외기업의 특허권 강제 실시 여부로 논란이 된 바 있다. 이런 상황에서 전염병 백신 특허권을 인정해야 하는 가에 대한 논란이 다시 붉어졌고 다음 내용을 근거로 전염병 백신 특허권을 보장해야 한다. 먼저, 특허권 보장은 백신개발에 대한 동기부여가 된다. 특허권은 기업의 사익을 보호할 수 있는 하한선의 수단이기 때문에 이를 활용하여 기업의 발전을 촉진시킬 수 있다. 백신 개발에 드는 천문학적인 비용을 특허권으로 보상 받을 수 있어야 기업에서 백신 개발이 가능해지고 활발해질 것이다. 제약회사는 사익을 추구하는 기업이기 때문에 특허권을 보장하지 않는다면 경제적인 요인의 부재로 인해 국내기업들의 활동이 줄어들 것이므로 특허권 보장을 통해 제약산업의 운영을 재정적으로 보호해야 한다. 백신 개발에 성공한 기술자들은 이를 성공시키기 위해 많은 자본과 노력이 있었을 것이다. 그런데 그에 대한 특허권을 보장 해주지 않는다면 그들은 손해를 본다. 하지만 백신에 대한 특허권을 보장해주지 않아 백신을 많은 사람들이 맞지 않는다면 문제점을 발생 할수도 있을 것이다. 백신을 많은 사람들이 접종하여 발생할 문제점들을 보완한 백신이 개발되면 정상화을 개발할 수 있을 것이다. 따라서 저는 코로나 백신에 대한 특허권을 보장해야 한다고 생각한다. 특허권을 보장해 주는 대신 어서 빨리 코로나에 대한 백신이 만들어져 신속히 지금과 같은 사태가 진정되기를 바란다. 나라도 먼저 개발하고 싶지만 아직 어려서 그럴 능력이 안되서 아쉽다. 하지만 나중에 커서 꼭 이러한 큰 일이 일어났을 때 꼭 기여하는 사람이 되고 싶다.",4,3,3,3,3,3,3,3,3,3.11,,,,,,
991,"수십 개의 개발도상국 정부들은 코로나19 퇴치를 위해 전 세계적인 물자 생산을 가속화하기 위해 지적재산권에 대한 권리 포기를 요구하고 있다. 나는 그들의 입장에 옹호하는데 따라서 코로나19 퇴치에 있어 지적재산권은 포기되어야 하고 과학자와 기업들, 국가들 간에 활발한 공유가 필수적이라고 생각한다. 가장 최근 인도에서 확진자가 급증하고 치명적인 변종 바이러스가 지속적으로 출현하며 현재 백신 생산자들이 세계적인 요구에 보조를 맞출 수 없다는 점에서 미루어 볼 때 지적재산권 포기는 도덕적인 의무이자 긴급 대책으로 떠오르는 것이 현실이며 의문의 여지가 없다. 물론 소수의 제약 회사는 기업의 이익에 맞서 중국과 러시아가 백신 생산에 대한 노하우를 얻는 것에 대해 반대하며 지적재산권 포기를 반대하고 있지만 결국 중국과 러시아에서 효과적 백신 생산이 둔화된다면, 그 또한 다른 모든 이들을 직접적으로 위험에 빠뜨릴 잠재성이 충분하다. 특허권 보장 시 향후 백신 개발의 발판이 되어 공익을 실현할 수 있다. 핵심기술을 공개하더라도 사용하는 원료 및 제조사의 품질관리 능력 등에 따라 백신의 품질이 좌우될 수 있다. 생산과정에서의 품질이 보장될 수 없다면, 결국 특허권 유예는 무의미해질 것이기에 특허권 유예가 양질의 백신 생산으로 이어질 수 있을지에 대해선 의문이다. 특허권의 승인 이후 적용되는 '발명의 설명참작의 원리'와 특허권을 인정하지 않을 때 발생할 수 있는 '영업비밀제도'가 특허권을 보장하는 것이 기술 공유를 활성화시켜 백신 연구에 큰 도움이 될 것이다. 어서 빨리 특허권을 포기해 여러 기업에서 코로나 바이러스 백신을 만들어 어서 빨리 이러한 코로나 사태가 진정되었으면 좋겠다. 그럼 다시 여행도 다니고 놀러 다닐텐데 정말 아쉽다.",3,3,3,3,3,3,3,3,3,3,,,,,,
